date,equity,peak,dd,year,month
2025-08-29,30910.046997070312,30910.046997070312,0.0,2025,2025-08
2025-09-01,29548.540161132812,30910.046997070312,-0.044047388089269,2025,2025-09
2025-09-02,29426.354614257812,30910.046997070312,-0.04800032762658457,2025,2025-09
2025-09-03,28012.482788085938,30910.046997070312,-0.09374182476199433,2025,2025-09
2025-09-04,28012.482788085938,30910.046997070312,-0.09374182476199433,2025,2025-09
2025-09-05,28012.482788085938,30910.046997070312,-0.09374182476199433,2025,2025-09
2025-09-08,28012.482788085938,30910.046997070312,-0.09374182476199433,2025,2025-09
2025-09-09,28012.482788085938,30910.046997070312,-0.09374182476199433,2025,2025-09
2025-09-10,28012.482788085938,30910.046997070312,-0.09374182476199433,2025,2025-09
2025-09-11,28012.482788085938,30910.046997070312,-0.09374182476199433,2025,2025-09
2025-09-12,28012.482788085938,30910.046997070312,-0.09374182476199433,2025,2025-09
2025-09-16,28012.482788085938,30910.046997070312,-0.09374182476199433,2025,2025-09
2025-09-17,28012.482788085938,30910.046997070312,-0.09374182476199433,2025,2025-09
2025-09-18,28012.482788085938,30910.046997070312,-0.09374182476199433,2025,2025-09
2025-09-19,28012.482788085938,30910.046997070312,-0.09374182476199433,2025,2025-09
2025-09-22,28012.482788085938,30910.046997070312,-0.09374182476199433,2025,2025-09
2025-09-24,28012.482788085938,30910.046997070312,-0.09374182476199433,2025,2025-09
2025-09-25,28012.482788085938,30910.046997070312,-0.09374182476199433,2025,2025-09
2025-09-26,28012.482788085938,30910.046997070312,-0.09374182476199433,2025,2025-09
2025-09-29,28012.482788085938,30910.046997070312,-0.09374182476199433,2025,2025-09
2025-09-30,28012.482788085938,30910.046997070312,-0.09374182476199433,2025,2025-09
2025-10-01,28012.482788085938,30910.046997070312,-0.09374182476199433,2025,2025-10
2025-10-02,28012.482788085938,30910.046997070312,-0.09374182476199433,2025,2025-10
2025-10-03,28012.482788085938,30910.046997070312,-0.09374182476199433,2025,2025-10
2025-10-06,28012.482788085938,30910.046997070312,-0.09374182476199433,2025,2025-10
2025-10-07,28012.482788085938,30910.046997070312,-0.09374182476199433,2025,2025-10
2025-10-08,28012.482788085938,30910.046997070312,-0.09374182476199433,2025,2025-10
2025-10-09,28012.482788085938,30910.046997070312,-0.09374182476199433,2025,2025-10
2025-10-10,28012.482788085938,30910.046997070312,-0.09374182476199433,2025,2025-10
2025-10-14,28012.482788085938,30910.046997070312,-0.09374182476199433,2025,2025-10
2025-10-15,28012.482788085938,30910.046997070312,-0.09374182476199433,2025,2025-10
2025-10-16,28012.482788085938,30910.046997070312,-0.09374182476199433,2025,2025-10
2025-10-17,28012.482788085938,30910.046997070312,-0.09374182476199433,2025,2025-10
2025-10-20,28012.482788085938,30910.046997070312,-0.09374182476199433,2025,2025-10
2025-10-21,28012.482788085938,30910.046997070312,-0.09374182476199433,2025,2025-10
2025-10-22,28012.482788085938,30910.046997070312,-0.09374182476199433,2025,2025-10
2025-10-23,28012.482788085938,30910.046997070312,-0.09374182476199433,2025,2025-10
2025-10-24,28012.482788085938,30910.046997070312,-0.09374182476199433,2025,2025-10
2025-10-27,28012.482788085938,30910.046997070312,-0.09374182476199433,2025,2025-10
2025-10-28,28012.482788085938,30910.046997070312,-0.09374182476199433,2025,2025-10
2025-10-29,28012.482788085938,30910.046997070312,-0.09374182476199433,2025,2025-10
2025-10-30,28012.482788085938,30910.046997070312,-0.09374182476199433,2025,2025-10
2025-10-31,28012.482788085938,30910.046997070312,-0.09374182476199433,2025,2025-10
2025-11-04,28012.482788085938,30910.046997070312,-0.09374182476199433,2025,2025-11
2025-11-05,28012.482788085938,30910.046997070312,-0.09374182476199433,2025,2025-11
